CMIP6 Compound Name,CMIP7 Compound Name,Branded Variable Name,Link to Ranking,Min Rank in CMIP6 download statistics,Physical Parameter,Units (from Physical Parameter),CF Standard Name (from Physical Parameter),Title,Description,Spatial Shape,Extra dimensions,Coordinates,Type,Modelling Realm - Primary,Modelling Realm - Secondary,Dimensions,CMIP6 Table (legacy),CMIP6 Frequency (legacy),CMIP7 Frequency,Processing Note,Table Section (CMIP6),Positive Direction,Provenance,Temporal Shape,Cell Methods,Cell Measures,ESM-BCV 1.4,CMIP7 Variable Groups,Opportunity (from CMIP7 Variable Groups),Experiment Groups (from Opportunity),List of Experiments,Disambiguation,Temporal Sampling Rate,Horizontal Mesh,Vertical Dimension,Size,Conditional,Region,CF Standard Name (from Coordinates),Priority 3 (CMIP6),Priority 2 (CMIP6),Priority 1 (CMIP6),Variable Status,Physical Parameter Status,Flag - known issue,Branded Variable Name status,Flag - variable change since CMIP6,UID
AERmon.abs550aer,aerosol.abs550aer.tavg-u-hxy-u.mon.GLB,abs550aer_tavg-u-hxy-u,AERmon.abs550aer,172,abs550aer,1,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,Ambient Aerosol Absorption Optical Thickness at 550nm,Optical thickness of atmospheric aerosols at wavelength 550 nanometers.,Global field (single level),,lambda550nm,real,aerosol,,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,AERmon-oth,,AERmon ((isd.003)),time-intv,area: time: mean,area: areacella,,"aerchemmip_2d_monthly,DAMIP_monthly,FireMIP_monthly,CFMIP-aero,impact_energy_damaging_other","Understanding the role of atmospheric composition for air quality and climate change,Detection and Attribution,Role of fire in the Earth system,""Clouds, circulation and climate sensitivity: baseline"",""Clouds, circulation and climate sensitivity: extension for process-level studies"",Energy System Impacts","aerchemmip,deck,fast-track,historical,scenarios,damip_experiment_group,picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,deck,fast-track_cfmip,cfmip-additional-nonfasttrack,cfmip_amip_amip4K,cfmip-additional-nonfasttrack,impact_climserv_core_expt,scenarios,scenarios_extensions-low-medium-high,highresmip2-ia","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-m4K,amip-p4k,amip-p4K-SST-rad,amip-p4K-SST-turb,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-s7h-noFireChange,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-noFire,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,19bebf2a-81b1-11e6-92de-ac72891c3257
AERmon.abs550bc,aerosol.abs550bc.tavg-u-hxy-u.mon.GLB,abs550bc_tavg-u-hxy-u,,,abs550bc,1,atmosphere_absorption_optical_thickness_due_to_black_carbon_ambient_aerosol,black carbon aaod@550nm,This is the black carbon aerosol optical depth at 550nm due to absorption,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,"aerchemmip_2d_monthly,DAMIP_monthly","Understanding the role of atmospheric composition for air quality and climate change,Detection and Attribution","aerchemmip,deck,fast-track,historical,scenarios,damip_experiment_group","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc25-7f07-11ef-9308-b1dd71e64bec
AERmon.abs550dust,aerosol.abs550dust.tavg-u-hxy-u.mon.GLB,abs550dust_tavg-u-hxy-u,,,abs550dust,1,atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol_particles,dust absorption aerosol optical depth @550nm,This is the dust aerosol optical depth at 550nm due to absorption ,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,"aerchemmip_2d_monthly,DAMIP_monthly","Understanding the role of atmospheric composition for air quality and climate change,Detection and Attribution","aerchemmip,deck,fast-track,historical,scenarios,damip_experiment_group","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc24-7f07-11ef-9308-b1dd71e64bec
AERmon.abs550no3,aerosol.abs550no3.tavg-u-hxy-u.mon.GLB,abs550no3_tavg-u-hxy-u,,,abs550no3,1,atmosphere_absorption_optical_thickness_due_to_nitrate_ambient_aerosol_particles,nitrate aaod@550nm,This is the nitrate aerosol optical depth at 550nm due to absorption,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_monthly,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc23-7f07-11ef-9308-b1dd71e64bec
AERmon.abs550oa,aerosol.abs550oa.tavg-u-hxy-u.mon.GLB,abs550oa_tavg-u-hxy-u,,,abs550oa,1,atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,particulate organic matter aaod@550nm,This is the particular organic matter aerosol optical depth at 550nm due to absorption,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_monthly,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc22-7f07-11ef-9308-b1dd71e64bec
AERmon.abs550so4,aerosol.abs550so4.tavg-u-hxy-u.mon.GLB,abs550so4_tavg-u-hxy-u,,,abs550so4,1,atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles,sulfate aaod@550nm,This is the sulphate aerosol optical depth at 550nm due to absorption,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,"aerchemmip_2d_monthly,DAMIP_monthly","Understanding the role of atmospheric composition for air quality and climate change,Detection and Attribution","aerchemmip,deck,fast-track,historical,scenarios,damip_experiment_group","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc21-7f07-11ef-9308-b1dd71e64bec
AERmon.abs550ss,aerosol.abs550ss.tavg-u-hxy-u.mon.GLB,abs550ss_tavg-u-hxy-u,,,abs550ss,1,atmosphere_absorption_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,sea salt aaod@550nm,This is the sea salt aerosol optical depth at 550nm due to absorption,Global field (single level),,lambda550nm,real,aerosol,atmosChem,"longitude, latitude, time, lambda550nm",AERmon,mon,mon,,,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_monthly,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,radiation_wavelength,,,,New,New,,Accepted,,83bbfc20-7f07-11ef-9308-b1dd71e64bec
Omon.absscint,ocean.absscint.tavg-op4-hxy-sea.mon.GLB,absscint_tavg-op4-hxy-sea,,,absscint,kg m-2,integral_wrt_depth_of_sea_water_absolute_salinity_expressed_as_salt_mass_content,Integral wrt depth of seawater absolute salinity expressed as salt mass content,"This is a fundamental aspect of the changes in the hydrological cycle and their impact on the oceans, and due to new numerical schemes and vertical discretizations, it is important to calculate it consistently with the model formulation. ",Global ocean field on layers,,,real,ocean,,"longitude, latitude, oplayer4, time",Omon,mon,mon,"CHANGE: This is a new variable, which aids in understanding hydrological change. It is preferable to calculate it online, due to difficulties with vertical discretizations. It is calculated as an integral over hydrostatic pressure ranges, which makes it directly comparable with observations.",,,,time-intv,area: time: mean where sea,area: areacello,,int_ocean_budgets,"Earth's Energy Budget,""Ocean Changes, Drivers and Impacts"",Water cycle/budget assessment","scenarios,historical,picontrol,deck_idealized_co2_experiments,deck,fast-track,scenarios,historical,scenarios_extensions,scenarios,historical,picontrol","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,120,68400,4,32.832,,GLB,,,,,New,New,,Accepted,,80ab72a5-a698-11ef-914a-613c0433d878
ImonAnt.acabf,landIce.acabf.tavg-u-hxy-is.mon.ATA,acabf_tavg-u-hxy-is,ImonAnt.acabf,1396,acabf,kg m-2 s-1,land_ice_surface_specific_mass_balance_flux,Surface Mass Balance Flux,"quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods, and as forcing for ISM",Polar stereographic grid (Antarctic),,,real,landIce,,"xant, yant, time",ImonAnt,mon,mon,,,,ISMIP6 [ImonAnt],time-intv,area: time: mean where ice_sheet,area: areacellg,,landice_antarctica_allfreq,"""Ice sheet mass loss, contributions to sea level rise and freshwater flux input to the climate system""","scenarios,historical,picontrol,ismip7-scenario-extensions","esm-hist,esm-piControl,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,historical,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlloc,scen7-vlloc-ext",,120,40000,1,4.800,,ATA,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,d5b30bf6-c78d-11e6-9b25-5404a60d96b5
ImonGre.acabf,landIce.acabf.tavg-u-hxy-is.mon.GRL,acabf_tavg-u-hxy-is,ImonGre.acabf,1403,acabf,kg m-2 s-1,land_ice_surface_specific_mass_balance_flux,Surface Mass Balance Flux,"quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods, and as forcing for ISM",Polar stereographic grid (Greenland),,,real,landIce,,"xgre, ygre, time",ImonGre,mon,mon,,,,ISMIP6 [ImonGre],time-intv,area: time: mean where ice_sheet,area: areacellg,,landice_greenland_allfreq,"""Ice sheet mass loss, contributions to sea level rise and freshwater flux input to the climate system""","scenarios,historical,picontrol,ismip7-scenario-extensions","esm-hist,esm-piControl,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,historical,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlloc,scen7-vlloc-ext",,120,40000,1,4.800,,GRL,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,d5b2946e-c78d-11e6-9b25-5404a60d96b5
