NorESM3 name V1.0 table ,NorESM3 name (dependency),NOTES,CMIP6 Compound Name,CMIP7 Compound Name,Branded Variable Name,Link to Ranking,Min Rank in CMIP6 download statistics,Physical Parameter,Units (from Physical Parameter),CF Standard Name (from Physical Parameter),Title,Description,Spatial Shape,Extra dimensions,Coordinates,Type,Modelling Realm - Primary,Modelling Realm - Secondary,Dimensions,CMIP6 Table (legacy),CMIP6 Frequency (legacy),CMIP7 Freq.,Processing Note,Table Section (CMIP6),Positive Direction,Provenance,Temporal Shape,Cell Methods,Cell Measures,ESM-BCV 1.4,CMIP7 Variable Groups,Opportunity (from CMIP7 Variable Groups),Experiment Groups (from Opportunity),List of Experiments,Flag values,Flag meanings,Disambiguation,Temporal Sampling Rate,Horizontal Mesh,Vertical Dimension,Size,Conditional,Region,CF Standard Name (from Coordinates),Priority 3 (CMIP6),Priority 2 (CMIP6),Priority 1 (CMIP6),Variable Status,Physical Parameter Status,Flag - known issue,Branded Variable Name status,Flag - variable change since CMIP6,UID
,,,AERday.co,aerosol.co.tavg-h2m-hxy-u.day.glb,co_tavg-h2m-hxy-u,,,co,mol mol-1,mole_fraction_of_carbon_monoxide_in_air,Daily mean near-surface CO,This is the daily mean for CO volume mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc41-7f07-11ef-9308-b1dd71e64bec
,,,AERday.mmrnh4,aerosol.mmrnh4.tavg-h2m-hxy-u.day.glb,mmrnh4_tavg-h2m-hxy-u,,,mmrnh4,kg kg-1,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Daily mean near-surface NH4,Daily mean NH4 mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc3a-7f07-11ef-9308-b1dd71e64bec
,,,AERday.mmrno3,aerosol.mmrno3.tavg-h2m-hxy-u.day.glb,mmrno3_tavg-h2m-hxy-u,,,mmrno3,kg kg-1,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,Daily mean near-surface NO3 aerosol,Daily mean NO3 aerosol mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc39-7f07-11ef-9308-b1dd71e64bec
DOD550/DAYFOC,DOD550/DAYFOC,,AERday.od550aer,aerosol.od550aer.tavg-u-hxy-u.day.glb,od550aer_tavg-u-hxy-u,AERday.od550aer,401,od550aer,1,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,Ambient Aerosol Optical Thickness at 550nm,"AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""",Global field (single level),,lambda550nm,real,aerosol,,"longitude, latitude, time, lambda550nm",AERday,day,day,,AERday,,AERday ((isd.003)),time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,radiation_wavelength,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,fda76476-96ec-11e6-b81e-c9e268aff03a
Z010,Z010,,AERday.zg10,aerosol.zg.tavg-10hPa-hxy-air.day.glb,zg_tavg-10hPa-hxy-air,AERday.zg10,622,zg10,m,geopotential_height,Geopotential Height at 10hPa,Geopotential height on the 10 hPa surface,Global field (single level),,p10,real,aerosol,,"longitude, latitude, time, p10",AERday,day,day,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where air,",AERday,,AERday ((isd.003)),time-intv,area: time: mean where air,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,air_pressure,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,checked,19bdc1ec-81b1-11e6-92de-ac72891c3257
,MMR_AH2O,,AERday.mmraerh2o,aerosol.mmraerh2o.tavg-h2m-hxy-u.day.glb,mmraerh2o_tavg-h2m-hxy-u,,,mmraerh2o,kg kg-1,mass_fraction_of_water_in_ambient_aerosol_particles_in_air,Daily mean near-surface Aerosol water mass mixing ratio,Daily mean Aerosol water mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc3d-7f07-11ef-9308-b1dd71e64bec
,mmr_BC,,AERday.mmrbc,aerosol.mmrbc.tavg-h2m-hxy-u.day.glb,mmrbc_tavg-h2m-hxy-u,,,mmrbc,kg kg-1,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Daily mean near-surface BC,Daily mean elemental carbon mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc3c-7f07-11ef-9308-b1dd71e64bec
,mmr_DUST,,AERday.mmrdust,aerosol.mmrdust.tavg-h2m-hxy-u.day.glb,mmrdust_tavg-h2m-hxy-u,,,mmrdust,kg kg-1,mass_fraction_of_dust_dry_aerosol_particles_in_air,Daily mean near-surface dust aerosol,Daily mean dust aerosol mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc3b-7f07-11ef-9308-b1dd71e64bec
,mmr_OM,,AERday.mmroa,aerosol.mmroa.tavg-h2m-hxy-u.day.glb,mmroa_tavg-h2m-hxy-u,,,mmroa,kg kg-1,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Total near-surface organic aerosol,Daily mean total organic aerosol mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc38-7f07-11ef-9308-b1dd71e64bec
,mmr_SULFATE,,AERday.mmrso4,aerosol.mmrso4.tavg-h2m-hxy-u.day.glb,mmrso4_tavg-h2m-hxy-u,,,mmrso4,kg kg-1,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Daily mean near-surface sulfate aerosol,Daily mean sulfate aerosol mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc37-7f07-11ef-9308-b1dd71e64bec
,SOA_NA+SOA_A1,,AERday.mmrsoa,aerosol.mmrsoa.tavg-h2m-hxy-u.day.glb,mmrsoa_tavg-h2m-hxy-u,,,mmrsoa,kg kg-1,mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,Daily mean near-surface SOA,Daily mean secondary organic aerosol mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc36-7f07-11ef-9308-b1dd71e64bec
,mmr_SALT,,AERday.mmrss,aerosol.mmrss.tavg-h2m-hxy-u.day.glb,mmrss_tavg-h2m-hxy-u,,,mmrss,kg kg-1,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Daily mean near-surface Sea Salt,Daily mean Sea Salt mass mixing ratio near surface.,Global field (single level),,height2m,real,aerosol,atmosChem,"longitude, latitude, time, height2m",AERday,day,day,"Given the large differences in aerosol, boundary layer and vertical coordinate schemes across the models AerChemMIP do not want to be prescriptive and am happy to accept modelling centre's 'best estimate' rather than requiring interpolation to 2m exactly.",,,,time-intv,area: time: mean,area: areacella,,aerchemmip_2d_daily,Understanding the role of atmospheric composition for air quality and climate change,"aerchemmip,deck,fast-track,historical,scenarios","hist-piaer,hist-piaq,piclim-ch4,esm-scen7-vl-aq,piclim-aer,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,1pctco2,abrupt-4xco2,amip,esm-hist,esm-piControl,historical,piclim-4xco2,piclim-anthro,piclim-control,picontrol,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-histaer,piclim-histall,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl",,,,3650,68400,1,"249,66",,glb,height,,,,New,Existing physical parameter,,Accepted,,83bbfc35-7f07-11ef-9308-b1dd71e64bec
